source_concept_id,source_uuid,target_uuid,reason
991377,0ae0f136-15f5-102d-96e4-000c29c2a5d7,991377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991378,0ae0f226-15f5-102d-96e4-000c29c2a5d7,991378AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991485,0ae1b04e-15f5-102d-96e4-000c29c2a5d7,991485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991574,0ae21354-15f5-102d-96e4-000c29c2a5d7,991574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991579,0ae2187c-15f5-102d-96e4-000c29c2a5d7,991579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991708,0ae38fd6-15f5-102d-96e4-000c29c2a5d7,991708AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991710,0ae391ca-15f5-102d-96e4-000c29c2a5d7,991710AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991713,0ae394b8-15f5-102d-96e4-000c29c2a5d7,991713AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991742,0ae3b704-15f5-102d-96e4-000c29c2a5d7,991742AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991944,0ae4dca6-15f5-102d-96e4-000c29c2a5d7,991944AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991946,0ae4de9a-15f5-102d-96e4-000c29c2a5d7,991946AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991949,0ae4e188-15f5-102d-96e4-000c29c2a5d7,991949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991950,0ae4e282-15f5-102d-96e4-000c29c2a5d7,991950AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991951,0ae4e372-15f5-102d-96e4-000c29c2a5d7,991951AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991952,0ae4e46c-15f5-102d-96e4-000c29c2a5d7,991952AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991953,0ae4e566-15f5-102d-96e4-000c29c2a5d7,991953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991954,0ae4e660-15f5-102d-96e4-000c29c2a5d7,991954AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991955,0ae4e75a-15f5-102d-96e4-000c29c2a5d7,991955AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
